Match,Team_Name,Player_Name,Minute,Type_Of_Goal
10413,Sampdoria,Karol Linetty,68,Normal
10075,Sampdoria,Karol Linetty,20,Normal
10788,Sampdoria,Karol Linetty,25,Normal
10630,Sampdoria,Karol Linetty,39,Normal
10560,Sampdoria,Karol Linetty,68,Normal
11045,Sampdoria,Karol Linetty,11,Normal
11045,Sampdoria,Karol Linetty,45+3,Normal
10929,Sampdoria,Karol Linetty,70,Normal
10915,Sampdoria,Karol Linetty,34,Normal
11735,Sampdoria,Stefano Sensi,7,Normal
11409,Sampdoria,Valerio Verre,83,Normal
11482,Sampdoria,Valerio Verre,32,Normal
11224,Sampdoria,Valerio Verre,54,Normal
10419,Sampdoria,Dawid Kownacki,76,Normal
10365,Sampdoria,Dawid Kownacki,65,Normal
10335,Sampdoria,Dawid Kownacki,45+4,Normal
10176,Sampdoria,Dawid Kownacki,90+4,Normal
10059,Sampdoria,Dawid Kownacki,64,Normal
10751,Sampdoria,Dawid Kownacki,83,Penalty
11940,Sampdoria,Emmanuel Gyasi,15,OG
10199,Sampdoria,Lucas Torreira,11,Normal
10096,Sampdoria,Lucas Torreira,71,Normal
10075,Sampdoria,Lucas Torreira,26,Normal
10075,Sampdoria,Lucas Torreira,84,Normal
10988,Sampdoria,Morten Thorsby,52,Normal
11520,Sampdoria,Morten Thorsby,59,Normal
11429,Sampdoria,Morten Thorsby,82,Normal
11556,Sampdoria,Morten Thorsby,7,Normal
11877,Sampdoria,Morten Thorsby,71,Normal
11604,Sampdoria,Morten Thorsby,77,Normal
11932,Sampdoria,Morten Thorsby,82,Normal
10392,Sampdoria,Ricky Álvarez,90+1,Normal
10216,Sampdoria,Édgar Barreto,50,Normal
10795,Sampdoria,Lorenzo Tonelli,76,Normal
11363,Sampdoria,Lorenzo Tonelli,77,Normal
11510,Sampdoria,Tommaso Augello,41,Normal
11792,Sampdoria,Tommaso Augello,47,Normal
12137,Sampdoria,Tommaso Augello,31,Normal
12019,Sampdoria,Tommaso Augello,28,Normal
11282,Sampdoria,Antonio Candreva,67,Penalty
11278,Sampdoria,Antonio Candreva,24,Normal
11395,Sampdoria,Antonio Candreva,25,Normal
11567,Sampdoria,Antonio Candreva,54,Normal
11264,Sampdoria,Antonio Candreva,23,Penalty
11924,Sampdoria,Antonio Candreva,69,Normal
11614,Sampdoria,Antonio Candreva,43,Normal
11620,Sampdoria,Antonio Candreva,51,Normal
11735,Sampdoria,Antonio Candreva,90+1,Penalty
11940,Sampdoria,Antonio Candreva,36,Normal
11893,Sampdoria,Antonio Candreva,70,Normal
11912,Sampdoria,Antonio Candreva,83,Normal
12321,Sampdoria,Filip Đuričić,72,Normal
12137,Sampdoria,Filip Đuričić,32,Normal
12291,Sampdoria,Filip Đuričić,57,Normal
11770,Sampdoria,Francesco Caputo,13,Normal
11583,Sampdoria,Francesco Caputo,10,Normal
11649,Sampdoria,Francesco Caputo,49,Normal
11833,Sampdoria,Francesco Caputo,32,Normal
11709,Sampdoria,Francesco Caputo,18,Normal
11735,Sampdoria,Francesco Caputo,5,Normal
11842,Sampdoria,Francesco Caputo,44,Normal
11893,Sampdoria,Francesco Caputo,31,Normal
11893,Sampdoria,Francesco Caputo,52,Normal
11804,Sampdoria,Francesco Caputo,24,Normal
11804,Sampdoria,Francesco Caputo,38,Normal
12284,Sampdoria,Francesco Caputo,40,Normal
10146,Sampdoria,Gastón Ramírez,2,Normal
10335,Sampdoria,Gastón Ramírez,87,Normal
10080,Sampdoria,Gastón Ramírez,24,Normal
10510,Sampdoria,Gastón Ramírez,41,Normal
10553,Sampdoria,Gastón Ramírez,44,Normal
10522,Sampdoria,Gastón Ramírez,59,Normal
10481,Sampdoria,Gastón Ramírez,40,Normal
10826,Sampdoria,Gastón Ramírez,90+1,Normal
10856,Sampdoria,Gastón Ramírez,75,Penalty
10961,Sampdoria,Gastón Ramírez,70,Normal
10961,Sampdoria,Gastón Ramírez,75,Normal
10868,Sampdoria,Gastón Ramírez,52,Normal
11025,Sampdoria,Gastón Ramírez,40,Penalty
11025,Sampdoria,Gastón Ramírez,75,Penalty
10419,Sampdoria,Gianluca Caprari,38,Normal
10413,Sampdoria,Gianluca Caprari,59,Normal
10244,Sampdoria,Gianluca Caprari,43,Normal
10176,Sampdoria,Gianluca Caprari,45+1,Normal
10167,Sampdoria,Gianluca Caprari,32,Normal
10742,Sampdoria,Gianluca Caprari,90+1,Normal
10437,Sampdoria,Gianluca Caprari,60,Normal
10510,Sampdoria,Gianluca Caprari,87,Normal
10510,Sampdoria,Gianluca Caprari,90+1,Normal
10503,Sampdoria,Gianluca Caprari,66,Normal
10751,Sampdoria,Gianluca Caprari,47,Normal
10889,Sampdoria,Gianluca Caprari,35,Normal
10915,Sampdoria,Gianluca Caprari,77,Normal
10838,Sampdoria,Gianluca Caprari,90+1,Normal
10742,Sampdoria,Grégoire Defrel,84,Normal
10788,Sampdoria,Grégoire Defrel,60,Normal
10714,Sampdoria,Grégoire Defrel,38,Normal
10655,Sampdoria,Grégoire Defrel,11,Normal
10655,Sampdoria,Grégoire Defrel,32,Normal
10642,Sampdoria,Grégoire Defrel,1,Normal
10630,Sampdoria,Grégoire Defrel,15,Normal
10751,Sampdoria,Grégoire Defrel,54,Normal
10751,Sampdoria,Grégoire Defrel,86,Normal
10464,Sampdoria,Grégoire Defrel,89,Normal
10683,Sampdoria,Grégoire Defrel,3,Normal
11510,Sampdoria,Mikkel Damsgaard,74,Normal
11230,Sampdoria,Mikkel Damsgaard,26,Normal
11649,Sampdoria,Zinho Vanheusden,67,OG
11781,Sampdoria,Abdelhamid Sabiri,84,Normal
11877,Sampdoria,Abdelhamid Sabiri,84,Normal
11851,Sampdoria,Abdelhamid Sabiri,25,Normal
12301,Sampdoria,Abdelhamid Sabiri,11,Normal
12100,Sampdoria,Abdelhamid Sabiri,68,Penalty
12238,Sampdoria,Alessandro Zanoli,34,Normal
12144,Sampdoria,Alessandro Zanoli,90+8,Normal
10596,Sampdoria,Manolo Gabbiadini,75,Normal
10662,Sampdoria,Manolo Gabbiadini,83,Normal
10630,Sampdoria,Manolo Gabbiadini,72,Normal
10560,Sampdoria,Manolo Gabbiadini,78,Normal
11008,Sampdoria,Manolo Gabbiadini,11,Normal
11045,Sampdoria,Manolo Gabbiadini,45,Normal
11070,Sampdoria,Manolo Gabbiadini,8,Normal
11183,Sampdoria,Manolo Gabbiadini,64,Normal
10856,Sampdoria,Manolo Gabbiadini,45+6,Normal
10975,Sampdoria,Manolo Gabbiadini,90,Normal
11065,Sampdoria,Manolo Gabbiadini,90+3,Normal
10958,Sampdoria,Manolo Gabbiadini,73,Penalty
11135,Sampdoria,Manolo Gabbiadini,56,Normal
11092,Sampdoria,Manolo Gabbiadini,32,Normal
10881,Sampdoria,Manolo Gabbiadini,85,Normal
11429,Sampdoria,Manolo Gabbiadini,73,Penalty
11376,Sampdoria,Manolo Gabbiadini,80,Normal
11501,Sampdoria,Manolo Gabbiadini,64,Normal
11645,Sampdoria,Manolo Gabbiadini,89,Normal
11689,Sampdoria,Manolo Gabbiadini,18,Normal
11673,Sampdoria,Manolo Gabbiadini,80,Normal
11649,Sampdoria,Manolo Gabbiadini,7,Normal
11666,Sampdoria,Manolo Gabbiadini,1,Normal
11630,Sampdoria,Manolo Gabbiadini,15,Normal
12249,Sampdoria,Manolo Gabbiadini,8,Normal
12272,Sampdoria,Manolo Gabbiadini,90+2,Normal
12144,Sampdoria,Manolo Gabbiadini,24,Normal
12144,Sampdoria,Manolo Gabbiadini,35,Normal
12087,Sampdoria,Manolo Gabbiadini,12,Normal
12087,Sampdoria,Manolo Gabbiadini,58,Normal
12019,Sampdoria,Manolo Gabbiadini,25,Normal
10232,Sampdoria,Matías Silvestre,35,Normal
