"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2021-03-13","Serie A (Matchweek 27)","Benevento","4-3-3",60,479,580,83,15,8,29,684,14,5,17,16,2,3,22,81,"3","0","Fiorentina","3-5-2",40,300,393,76,18,3,14,514,19,12,20,27,1,9,21,73,"1","0","https://fbref.com/en/matches/f8a1df03/Benevento-Fiorentina-March-13-2021-Serie-A"
"Serie A","2021-02-28","Serie A (Matchweek 24)","Crotone","3-4-3",55,381,471,81,17,7,21,582,11,8,18,19,2,7,13,56,"2","0","Cagliari","3-4-1-2",45,274,385,71,14,4,17,479,22,6,19,15,0,10,15,68,"5","1","https://fbref.com/en/matches/2cc69894/Crotone-Cagliari-February-28-2021-Serie-A"
"Serie A","2021-02-07","Serie A (Matchweek 21)","Milan","4-2-3-1",49,393,476,83,17,8,25,591,13,6,19,17,5,9,14,58,"3","0","Crotone","3-5-2",51,387,486,80,9,6,21,584,7,6,11,25,0,8,19,56,"1","0","https://fbref.com/en/matches/32d2f8ec/Milan-Crotone-February-7-2021-Serie-A"
"Serie A","2021-01-16","Serie A (Matchweek 18)","Sampdoria","4-4-1-1",54,412,515,80,8,11,30,631,12,10,17,24,3,6,24,71,"1","0","Udinese","3-5-1-1",46,342,445,77,11,5,22,563,13,13,15,28,4,4,25,44,"1","0","https://fbref.com/en/matches/03eb2f20/Sampdoria-Udinese-January-16-2021-Serie-A"
"Serie A","2021-05-01","Serie A (Matchweek 34)","Crotone","3-5-2",38,357,415,86,10,4,18,515,8,11,6,41,2,9,4,54,"1","0","Internazionale","3-5-2",62,590,668,88,9,11,35,745,11,6,14,14,3,3,19,65,"2","0","https://fbref.com/en/matches/c5109aaf/Crotone-Internazionale-May-1-2021-Serie-A"
"Serie A","2021-03-21","Serie A (Matchweek 28)","Hellas Verona","3-4-3",52,324,484,67,23,4,12,593,17,15,20,16,3,9,20,96,"3","0","Atalanta","4-2-3-1",48,293,445,66,20,7,18,557,19,16,35,14,3,5,15,85,"2","0","https://fbref.com/en/matches/89228264/Hellas-Verona-Atalanta-March-21-2021-Serie-A"
"Serie A","2021-04-21","Serie A (Matchweek 32)","Bologna","4-2-3-1",48,267,381,70,26,3,9,498,14,10,25,28,0,16,17,65,"4","0","Torino","3-5-2",52,289,406,71,15,7,22,515,13,12,18,5,3,9,10,78,"2","0","https://fbref.com/en/matches/0332b891/Bologna-Torino-April-21-2021-Serie-A"
"Serie A","2021-04-18","Serie A (Matchweek 31)","Atalanta","3-4-1-2",45,427,493,87,18,3,18,641,19,18,11,25,0,5,7,49,"3","0","Juventus","4-4-2",55,506,605,84,16,8,24,718,23,12,11,14,0,6,24,65,"2","0","https://fbref.com/en/matches/1d15b3c8/Atalanta-Juventus-April-18-2021-Serie-A"
"Serie A","2020-09-26","Serie A (Matchweek 2)","Sampdoria","4-4-2",40,249,371,67,17,6,24,457,9,16,16,18,4,10,13,63,"3","0","Benevento","4-3-3",60,441,548,80,12,4,18,649,10,8,16,20,1,6,27,75,"1","0","https://fbref.com/en/matches/0505790f/Sampdoria-Benevento-September-26-2020-Serie-A"
"Serie A","2021-05-02","Serie A (Matchweek 34)","Bologna","3-4-3",62,449,529,85,16,3,22,623,22,6,4,22,2,6,15,54,"2","0","Fiorentina","3-5-2",38,233,324,72,12,5,22,411,12,7,9,19,1,4,22,55,"2","0","https://fbref.com/en/matches/8ecfe8f3/Derby-dellAppennino-Bologna-Fiorentina-May-2-2021-Serie-A"
