"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Serie A","2024-03-02","Serie A (Matchweek 27)","Udinese","3-5-1-1",1,1.8,"Hassane Kamara · 45+3&rsquor; Festy Ebosele · 64&rsquor;","6","1","Salernitana","4-3-1-2",1,1.1,"Loum Tchaouna · 10&rsquor;","1","0","https://fbref.com/en/matches/9b628018/Udinese-Salernitana-March-2-2024-Serie-A","Salernitana","Away",NA,990,1,1,0,0,17,1,1,0,510,14,5,8,1.1,1.1,1,31,2,334,419,79.7,26,302,15,6,1
"Serie A","2024-04-01","Serie A (Matchweek 30)","Cagliari","4-2-3-1",1,0.6,"Ibrahim Sulemana · 74&rsquor;","0","0","Hellas Verona","4-2-3-1",1,1.4,"Federico Bonazzoli · 30&rsquor;","2","0","https://fbref.com/en/matches/f7d8a40e/Cagliari-Hellas-Verona-April-1-2024-Serie-A","Cagliari","Home",NA,990,1,0,0,0,12,2,0,0,523,20,2,7,0.6,0.6,0.5,19,2,286,426,67.1,45,251,17,18,11
"Serie A","2024-04-01","Serie A (Matchweek 30)","Cagliari","4-2-3-1",1,0.6,"Ibrahim Sulemana · 74&rsquor;","0","0","Hellas Verona","4-2-3-1",1,1.4,"Federico Bonazzoli · 30&rsquor;","2","0","https://fbref.com/en/matches/f7d8a40e/Cagliari-Hellas-Verona-April-1-2024-Serie-A","Hellas Verona","Away",NA,990,1,1,0,0,8,5,2,0,522,22,11,13,1.4,1.4,1.4,15,2,272,400,68,26,269,17,15,5
"Serie A","2023-12-22","Serie A (Matchweek 17)","Monza","5-3-2",0,0.7,"","3","0","Fiorentina","4-2-3-1",1,2,"Lucas Beltrán · 7&rsquor;","4","0","https://fbref.com/en/matches/9c0fc917/Monza-Fiorentina-December-22-2023-Serie-A","Monza","Home",NA,990,0,0,0,0,7,2,3,0,625,15,9,15,0.7,0.7,0.3,12,0,422,524,80.5,19,396,12,15,8
"Serie A","2023-12-22","Serie A (Matchweek 17)","Monza","5-3-2",0,0.7,"","3","0","Fiorentina","4-2-3-1",1,2,"Lucas Beltrán · 7&rsquor;","4","0","https://fbref.com/en/matches/9c0fc917/Monza-Fiorentina-December-22-2023-Serie-A","Fiorentina","Away",NA,990,1,0,0,0,14,4,4,0,557,10,4,13,2,2,1.2,24,0,375,478,78.5,41,241,11,9,5
"Serie A","2024-01-28","Serie A (Matchweek 22)","Hellas Verona","4-2-2-2",1,2.2,"Tomáš Suslov (P) · 45+3&rsquor;","2","0","Frosinone","4-3-3",1,1.2,"Kaio Jorge · 58&rsquor;","2","0","https://fbref.com/en/matches/4d9bfc36/Hellas-Verona-Frosinone-January-28-2024-Serie-A","Hellas Verona","Home",NA,990,1,0,1,2,13,3,2,0,560,15,5,8,2.3,0.7,0.6,25,1,334,464,72,32,338,18,13,4
"Serie A","2024-01-28","Serie A (Matchweek 22)","Hellas Verona","4-2-2-2",1,2.2,"Tomáš Suslov (P) · 45+3&rsquor;","2","0","Frosinone","4-3-3",1,1.2,"Kaio Jorge · 58&rsquor;","2","0","https://fbref.com/en/matches/4d9bfc36/Hellas-Verona-Frosinone-January-28-2024-Serie-A","Frosinone","Away",NA,990,1,1,0,0,11,6,2,0,592,16,6,9,1.2,1.2,1.2,19,2,353,479,73.7,30,283,9,23,10
"Serie A","2024-02-04","Serie A (Matchweek 23)","Torino","3-4-3",0,0.8,"","2","0","Salernitana","3-4-3",0,0.1,"","1","0","https://fbref.com/en/matches/0aa345fd/Torino-Salernitana-February-4-2024-Serie-A","Torino","Home",NA,990,0,0,0,0,13,1,2,0,650,8,5,4,0.9,0.9,0.7,25,0,477,575,83,44,455,28,13,4
"Serie A","2024-02-04","Serie A (Matchweek 23)","Torino","3-4-3",0,0.8,"","2","0","Salernitana","3-4-3",0,0.1,"","1","0","https://fbref.com/en/matches/0aa345fd/Torino-Salernitana-February-4-2024-Serie-A","Salernitana","Away",NA,990,0,0,0,0,3,1,1,0,355,10,8,9,0.1,0.1,0,6,0,176,262,67.2,13,138,4,5,1
"Serie A","2024-02-11","Serie A (Matchweek 24)","Monza","3-4-3",0,0.7,"","1","0","Hellas Verona","4-2-3-1",0,0.7,"","2","0","https://fbref.com/en/matches/5cba7c58/Monza-Hellas-Verona-February-11-2024-Serie-A","Monza","Home",NA,990,0,0,0,0,11,1,1,0,564,11,9,8,0.7,0.7,0.2,14,0,386,481,80.2,37,359,12,15,6
"Serie A","2024-02-11","Serie A (Matchweek 24)","Monza","3-4-3",0,0.7,"","1","0","Hellas Verona","4-2-3-1",0,0.7,"","2","0","https://fbref.com/en/matches/5cba7c58/Monza-Hellas-Verona-February-11-2024-Serie-A","Hellas Verona","Away",NA,990,0,0,0,0,10,1,2,0,491,13,3,7,0.7,0.7,0.6,18,0,298,393,75.8,31,255,17,8,2
