"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Angers",1,0.5,"Rennes",2,1,10364,"Stade Raymond Kopa","Nicolas Rainville","","https://fbref.com/en/matches/2b647751/Angers-Rennes-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Toulouse",1,2,"Nice",2,1.4,10348,"Stadium Municipal","Johan Hamel","","https://fbref.com/en/matches/2d93bc29/Toulouse-Nice-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Metz",0,0.4,"Marseille",3,2.2,18046,"Stade Saint-Symphorien","Tony Chapron","","https://fbref.com/en/matches/990eea21/Metz-Marseille-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Guingamp",0,0.5,"Montpellier",0,0.4,13578,"Stade du Roudourou","Olivier Thual","","https://fbref.com/en/matches/b2edc088/Guingamp-Montpellier-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Nantes",1,0.8,"Monaco",0,0.5,24800,"Stade de la Beaujoire - Louis Fonteneau","Benoît Millot","","https://fbref.com/en/matches/c3bd6c5f/Nantes-Monaco-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"21:00","Paris S-G",2,1.6,"Troyes",0,0.4,40920,"Parc des Princes","Jérôme Brisard","","https://fbref.com/en/matches/30346041/Paris-Saint-Germain-Troyes-November-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Fri",2017-12-01,"20:45","Dijon",3,2.2,"Bordeaux",2,1.3,10631,"Stade Gaston Gérard","Benoît Bastien","","https://fbref.com/en/matches/d346ee3f/Dijon-Bordeaux-December-1-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"17:00","Strasbourg",2,0.3,"Paris S-G",1,3.1,25327,"Stade de la Meinau","Ruddy Buquet","","https://fbref.com/en/matches/3a44c59e/Strasbourg-Paris-Saint-Germain-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"20:00","Troyes",0,1,"Guingamp",1,0.7,9149,"Stade de l'Aube","Sébastien Desiage","","https://fbref.com/en/matches/03a8e9f2/Troyes-Guingamp-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"20:00","Nice",3,1.9,"Metz",1,0.5,16383,"Stade de Nice","Mikael Lesage","","https://fbref.com/en/matches/653e7ff8/Nice-Metz-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"20:00","Rennes",2,1.5,"Amiens",0,0.3,23051,"Roazhon Park","Thomas Léonard","","https://fbref.com/en/matches/d4944029/Rennes-Amiens-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"20:00","Monaco",1,0.3,"Angers",0,0.8,6545,"Stade Louis II.","Antony Gautier","","https://fbref.com/en/matches/f2c24ab9/Monaco-Angers-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sat",2017-12-02,"20:00","Lille",1,0.7,"Toulouse",0,1.2,29287,"Stade Pierre-Mauroy","Benoît Millot","","https://fbref.com/en/matches/fcadcb3d/Lille-Toulouse-December-2-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sun",2017-12-03,"15:00","Saint-Étienne",1,0.9,"Nantes",1,1.8,24085,"Stade Geoffroy-Guichard","François Letexier","","https://fbref.com/en/matches/9021b6c1/Saint-Etienne-Nantes-December-3-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sun",2017-12-03,"17:00","Caen",1,1.3,"Lyon",2,1.6,19455,"Stade Michel d'Ornano","Amaury Delerue","","https://fbref.com/en/matches/83803ec8/Caen-Lyon-December-3-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","16","Sun",2017-12-03,"21:00","Montpellier",1,1,"Marseille",1,1,19230,"Stade de la Mosson","Franck Schneider","","https://fbref.com/en/matches/e86d3f68/Montpellier-Marseille-December-3-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Fri",2017-12-08,"20:45","Bordeaux",0,0.8,"Strasbourg",3,1.9,24515,"Stade Matmut-Atlantique","Jérôme Brisard","","https://fbref.com/en/matches/b49a984a/Bordeaux-Strasbourg-December-8-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"17:00","Paris S-G",3,1.4,"Lille",1,0.6,47176,"Parc des Princes","Johan Hamel","","https://fbref.com/en/matches/21322bf5/Paris-Saint-Germain-Lille-December-9-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"20:00","Toulouse",2,1.9,"Caen",0,1.1,12613,"Stadium Municipal","Sébastien Moreira","","https://fbref.com/en/matches/11ba51d6/Toulouse-Caen-December-9-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"20:00","Metz",1,1.3,"Rennes",1,0.7,11239,"Stade Saint-Symphorien","Karim Abed","","https://fbref.com/en/matches/11f311db/Metz-Rennes-December-9-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"20:00","Angers",1,1.4,"Montpellier",1,1.2,8756,"Stade Raymond Kopa","Stéphane Jochem","","https://fbref.com/en/matches/2030f949/Angers-Montpellier-December-9-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"20:00","Guingamp",4,1.7,"Dijon",0,0.3,13825,"Stade du Roudourou","Mikael Lesage","","https://fbref.com/en/matches/c2ab8f57/Guingamp-Dijon-December-9-2017-Ligue-1"
