"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Ligue 1","2019-02-15","Ligue 1 (Matchweek 25)","Nîmes","4-4-2",48,309,418,74,10,5,24,548,19,13,22,35,1,8,29,71,"2","0","Dijon","4-1-2-1-2",52,342,452,76,17,4,19,581,20,16,27,25,1,14,26,76,"6","1","https://fbref.com/en/matches/375cdae2/Nimes-Dijon-February-15-2019-Ligue-1"
"Ligue 1","2018-12-04","Ligue 1 (Matchweek 16)","Nice","3-4-3",64,672,750,90,10,7,18,856,22,11,12,11,1,6,15,48,"3","0","Angers","3-5-1-1",36,340,421,81,17,2,14,520,18,19,4,11,1,7,19,53,"1","1","https://fbref.com/en/matches/c4165737/Nice-Angers-December-4-2018-Ligue-1"
"Ligue 1","2018-09-01","Ligue 1 (Matchweek 4)","Dijon","4-2-3-1",63,410,535,77,11,8,26,627,10,4,23,23,1,7,41,83,"0","0","Caen","4-2-3-1",37,211,315,67,13,5,19,450,28,15,26,35,0,11,16,93,"3","0","https://fbref.com/en/matches/51e156ae/Dijon-Caen-September-1-2018-Ligue-1"
"Ligue 1","2018-11-10","Ligue 1 (Matchweek 13)","Toulouse","4-2-3-1",49,321,446,72,11,7,30,558,11,9,24,9,2,7,35,95,"3","0","Amiens","3-4-3",51,339,467,73,15,3,8,594,14,9,28,40,1,12,25,87,"1","0","https://fbref.com/en/matches/3d953ec9/Toulouse-Amiens-November-10-2018-Ligue-1"
"Ligue 1","2018-08-18","Ligue 1 (Matchweek 2)","Dijon","4-2-3-1",32,208,315,66,18,3,13,427,22,20,12,24,6,9,15,79,"0","0","Nantes","4-2-3-1",68,550,662,83,13,4,17,751,10,10,12,8,2,6,33,75,"1","1","https://fbref.com/en/matches/b4404fb6/Dijon-Nantes-August-18-2018-Ligue-1"
"Ligue 1","2019-04-13","Ligue 1 (Matchweek 32)","Strasbourg","4-2-3-1",64,471,600,79,12,1,17,689,10,13,19,15,0,4,28,86,"1","0","Guingamp","4-1-4-1",36,224,342,65,14,4,17,439,6,10,22,20,1,5,21,64,"2","0","https://fbref.com/en/matches/d7661e3b/Strasbourg-Guingamp-April-13-2019-Ligue-1"
"Ligue 1","2019-05-03","Ligue 1 (Matchweek 35)","Strasbourg","3-5-2",44,365,448,81,12,0,10,551,7,9,12,15,3,10,22,63,"1","0","Marseille","3-5-2",56,476,569,84,15,4,16,678,21,10,12,14,2,9,12,66,"2","0","https://fbref.com/en/matches/3149818a/Strasbourg-Marseille-May-3-2019-Ligue-1"
"Ligue 1","2019-04-28","Ligue 1 (Matchweek 34)","Nice","4-3-3",61,542,612,89,12,2,9,721,12,12,22,23,1,10,22,60,"4","0","Guingamp","4-2-3-1",39,302,389,78,19,4,19,482,20,8,16,17,1,4,15,63,"3","0","https://fbref.com/en/matches/465f6d09/Nice-Guingamp-April-28-2019-Ligue-1"
"Ligue 1","2018-08-25","Ligue 1 (Matchweek 3)","Nice","4-3-3",55,470,551,85,11,5,13,650,14,10,17,18,1,4,18,59,"2","0","Dijon","4-2-3-1",45,344,444,77,19,3,13,537,21,14,19,13,2,13,20,81,"3","0","https://fbref.com/en/matches/8cfb6876/Nice-Dijon-August-25-2018-Ligue-1"
"Ligue 1","2018-12-15","Ligue 1 (Matchweek 18)","Reims","4-2-3-1",50,332,467,71,19,6,20,588,16,25,18,12,2,2,28,72,"1","0","Strasbourg","3-5-2",50,329,475,69,16,3,17,591,12,20,29,27,0,5,19,81,"1","0","https://fbref.com/en/matches/a58c1c71/Reims-Strasbourg-December-15-2018-Ligue-1"
