"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Montpellier","3-4-1-2",1,0.8,"Nicolas Cozza · 58&rsquor;","0","0","Troyes","4-2-3-1",1,0.4,"Karim Azamoum · 31&rsquor;","0","0","https://fbref.com/en/matches/573233b5/Montpellier-Troyes-May-12-2018-Ligue-1","Montpellier","Home",NA,990,1,0,0,0,22,3,0,0,764,23,22,7,0.9,0.9,0.7,40,2,509,635,80.2,85,421,35,22,15
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Montpellier","3-4-1-2",1,0.8,"Nicolas Cozza · 58&rsquor;","0","0","Troyes","4-2-3-1",1,0.4,"Karim Azamoum · 31&rsquor;","0","0","https://fbref.com/en/matches/573233b5/Montpellier-Troyes-May-12-2018-Ligue-1","Troyes","Away",NA,990,1,0,0,0,9,2,0,0,558,22,17,12,0.5,0.5,0.4,17,2,301,409,73.6,27,286,26,21,6
"Ligue 1","2017-11-29","Ligue 1 (Matchweek 15)","Toulouse","4-4-2",1,2,"Andy Delort · 3&rsquor; Kelvin Amian · 79&rsquor;","3","1","Nice","4-2-3-1",2,1.4,"Dante · 40&rsquor; Mario Balotelli (P) · 80&rsquor; Bassem Srarfi · 90+1&rsquor;","5","1","https://fbref.com/en/matches/2d93bc29/Toulouse-Nice-November-29-2017-Ligue-1","Toulouse","Home",NA,978,1,1,0,1,13,1,3,1,449,14,3,8,2,1.3,1.1,21,2,288,379,76,38,315,9,7,3
"Ligue 1","2017-11-29","Ligue 1 (Matchweek 15)","Toulouse","4-4-2",1,2,"Andy Delort · 3&rsquor; Kelvin Amian · 79&rsquor;","3","1","Nice","4-2-3-1",2,1.4,"Dante · 40&rsquor; Mario Balotelli (P) · 80&rsquor; Bassem Srarfi · 90+1&rsquor;","5","1","https://fbref.com/en/matches/2d93bc29/Toulouse-Nice-November-29-2017-Ligue-1","Nice","Away",NA,939,2,1,1,1,6,3,4,1,780,13,11,12,1.4,0.6,0.6,12,4,610,686,88.9,46,513,14,11,5
"Ligue 1","2018-01-13","Ligue 1 (Matchweek 20)","Troyes","4-2-3-1",0,1.4,"","4","0","Bordeaux","4-3-3",1,0.8,"Gaëtan Laborde · 15&rsquor;","0","0","https://fbref.com/en/matches/3f6dfa69/Troyes-Bordeaux-January-13-2018-Ligue-1","Troyes","Home",NA,990,0,0,0,1,7,2,4,0,689,18,9,9,1.4,0.6,0.5,14,0,455,582,78.2,50,382,7,10,5
"Ligue 1","2018-01-13","Ligue 1 (Matchweek 20)","Troyes","4-2-3-1",0,1.4,"","4","0","Bordeaux","4-3-3",1,0.8,"Gaëtan Laborde · 15&rsquor;","0","0","https://fbref.com/en/matches/3f6dfa69/Troyes-Bordeaux-January-13-2018-Ligue-1","Bordeaux","Away",NA,990,1,1,0,0,10,4,0,0,506,17,17,10,0.8,0.8,0.7,17,2,268,383,70,28,264,23,25,14
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Rennes","4-2-3-1",1,1.5,"Ismaila Sarr · 86&rsquor;","0","0","Saint-Étienne","4-2-3-1",1,1.6,"Neven Subotić · 35&rsquor;","4","0","https://fbref.com/en/matches/73922b9e/Rennes-Saint-Etienne-March-10-2018-Ligue-1","Rennes","Home",NA,990,1,1,0,0,18,6,0,0,669,19,9,8,1.6,1.6,1.1,29,2,469,573,81.8,49,395,21,17,11
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Rennes","4-2-3-1",1,1.5,"Ismaila Sarr · 86&rsquor;","0","0","Saint-Étienne","4-2-3-1",1,1.6,"Neven Subotić · 35&rsquor;","4","0","https://fbref.com/en/matches/73922b9e/Rennes-Saint-Etienne-March-10-2018-Ligue-1","Saint-Étienne","Away",NA,990,1,1,0,0,9,3,4,0,585,14,15,12,1.6,1.6,1.4,15,1,372,459,81,42,280,20,9,5
"Ligue 1","2017-12-03","Ligue 1 (Matchweek 16)","Montpellier","5-3-2",1,1,"Giovanni Sio · 29&rsquor;","4","0","Marseille","4-2-3-1",1,1,"Florian Thauvin (P) · 45&rsquor;","2","0","https://fbref.com/en/matches/e86d3f68/Montpellier-Marseille-December-3-2017-Ligue-1","Montpellier","Home",NA,990,1,0,0,0,13,4,4,0,397,16,12,7,1,1,0.7,24,2,212,307,69.1,23,174,14,21,15
"Ligue 1","2017-12-03","Ligue 1 (Matchweek 16)","Montpellier","5-3-2",1,1,"Giovanni Sio · 29&rsquor;","4","0","Marseille","4-2-3-1",1,1,"Florian Thauvin (P) · 45&rsquor;","2","0","https://fbref.com/en/matches/e86d3f68/Montpellier-Marseille-December-3-2017-Ligue-1","Marseille","Away",NA,990,1,0,1,1,5,1,2,0,750,11,8,12,1,0.2,0.1,9,1,563,651,86.5,50,566,22,13,10
