Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
4/18/2021,Strasbourg,Away,4-1-2-1-2,11,Dimitri Liénard,Pitch,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,FRA,LM,33-064,90,1,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,13,Stefan Mitrović,Pitch,https://fbref.com/en/players/e6777e6b/Stefan-Mitrovic,SRB,CB,30-331,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,19,Anthony Caci,Pitch,https://fbref.com/en/players/0118c54c/Anthony-Caci,FRA,"LB,RB",23-291,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,24,Alexander Djiku,Pitch,https://fbref.com/en/players/43e7a164/Alexander-Djiku,GHA,CB,26-252,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,25,Ludovic Ajorque,Pitch,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,FRA,FW,27-052,54,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,26,Adrien Thomasson,Pitch,https://fbref.com/en/players/c76b7567/Adrien-Thomasson,FRA,"AM,RM",27-129,66,0,0,1,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,27,Ibrahima Sissoko,Pitch,https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,MLI,"RM,CM,RB",23-173,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,28,Habib Diallo,Pitch,https://fbref.com/en/players/6605d143/Habib-Diallo,SEN,"FW,RM",25-304,75,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,16,Eiji Kawashima,Bench,https://fbref.com/en/players/a4527d33/Eiji-Kawashima,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,14,Sanjin Prcić,Bench,https://fbref.com/en/players/51c30111/Sanjin-Prcic,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
