League_Name,Team_Name,Season,Player_Name,Scores
Premier League,Liverpool,2024,Trent Alexander-Arnold,3
Premier League,Brighton,2024,Lewis Dunk,3
Premier League,Brighton,2024,Solly March,3
Premier League,Brighton,2024,Kaoru Mitoma,3
Premier League,Brighton,2024,Jack Hinshelwood,3
Premier League,Brighton,2024,Facundo Buonanotte,3
Premier League,Burnley,2024,Dara O'Shea,3
Premier League,Burnley,2024,Wilson Odobert,3
Premier League,Tottenham,2024,Pedro Porro,3
Premier League,Tottenham,2024,Pape Matar Sarr,3
Premier League,Tottenham,2024,Micky van de Ven,3
Premier League,Everton,2024,Beto,3
Premier League,Everton,2024,Dwight McNeil,3
Premier League,Everton,2024,Jack Harrison,3
Premier League,Everton,2024,Jarrad Branthwaite,3
Premier League,West Ham,2024,Kurt Zouma,3
Premier League,Manchester City,2024,Jeremy Doku,3
Premier League,Manchester City,2024,Jack Grealish,3
Premier League,Chelsea,2024,Thiago Silva,3
Premier League,Chelsea,2024,Enzo Fernández,3
Premier League,Chelsea,2024,Christopher Nkunku,3
Premier League,Sheffield Utd,2024,James Mcatee,3
Premier League,Sheffield Utd,2024,Jayden Bogle,3
Premier League,Aston Villa,2024,Morgan Rogers,3
Premier League,Brentford,2024,Mathias Jensen,3
Premier League,Brentford,2024,Keane Lewis-Potter,3
La Liga,Valencia,2024,Diego López,3
La Liga,Valencia,2024,Roman Yaremchuk,3
La Liga,Celta Vigo,2024,Jonathan Bamba,3
La Liga,Girona,2024,David López,3
La Liga,Girona,2024,Aleix García,3
La Liga,Sevilla,2024,Kike Salas,3
La Liga,Sevilla,2024,Sergio Ramos,3
La Liga,Athletic Club,2024,Mikel Vesga,3
La Liga,Athletic Club,2024,Yuri Berchiche,3
La Liga,Barcelona,2024,Sergi Roberto,3
La Liga,Alavés,2024,Kiké,3
La Liga,Alavés,2024,Jon Guridi,3
La Liga,Alavés,2024,Carlos Benavídez,3
La Liga,Atlético Madrid,2024,Rodrigo De Paul,3
La Liga,Atlético Madrid,2024,Rodrigo Riquelme,3
La Liga,Las Palmas,2024,Alberto Moleiro,3
