Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
152117,10925,130,Cristián Zapata,11,Normal
152121,10925,130,Christian Kouamé,65,Normal
152125,10925,129,Erick Pulgar,76,Penalty
152128,11102,134,Elseid Hysaj,8,Normal
152143,11102,134,Allan,90+3,Normal
152146,10866,134,Fernando Llorente,41,Normal
152149,10866,121,Andreas Skov Olsen,58,Normal
152153,10866,121,Nicola Sansone,80,Normal
152162,10969,140,Marco Mancosu,41,Penalty
152165,10969,133,Andrea Petagna,47,Normal
152168,10969,140,Žan Majer,66,Normal
152174,11117,135,Álex Berenguer,14,Normal
152175,11117,128,Edin Džeko,16,Normal
152177,11117,128,Chris Smalling,23,Normal
152183,11117,128,Amadou Diawara,61,Penalty
152184,11117,135,Wilfried Singo,65,Normal
152193,10955,118,Rafael Tolói,12,Normal
152194,10955,130,Domenico Criscito,19,Penalty
152195,10955,130,Antonio Sanabria,33,Normal
152196,10955,118,Josip Iličić,35,Normal
152211,11062,130,Goran Pandev,24,Normal
152212,11062,130,Unknown,37,Penalty
152213,11062,130,Lasse Schöne,54,Normal
152226,10970,130,Adama Soumaoro,28,Normal
152229,10970,130,Antonio Sanabria,44,Normal
152242,10970,130,Domenico Criscito,90,Penalty
152244,10878,131,Krzysztof Piątek,15,Penalty
152246,10878,131,Theo Hernández,32,Normal
152247,10878,121,Theo Hernández,40,OG
152249,10878,131,Giacomo Bonaventura,46,Normal
152258,10878,121,Nicola Sansone,84,Penalty
152262,11089,118,Luis Muriel,62,Normal
152277,10834,130,Goran Pandev,22,Normal
152279,10834,119,Rodrigo De Paul,32,Normal
152286,10834,119,Ken Sema,87,Normal
152288,10834,119,Kevin Lasagna,90+4,Normal
152289,10911,120,Lautaro Martínez,4,Normal
152297,10911,118,Robin Gosens,75,Normal
152300,10911,118,Unknown,88,Penalty
152303,10897,125,Hamed Junior Traorè,29,Normal
152308,10897,134,Allan,57,Normal
152315,10897,134,Pedro Obiang,90+4,OG
152317,10943,120,Lautaro Martínez,29,Normal
152322,10943,126,Radja Nainggolan,78,Normal
152344,10902,135,Andrea Belotti,45+2,Normal
152351,10902,135,Andrea Belotti,86,Penalty
152355,11039,116,Paulo Dybala,3,Normal
152357,11039,116,Juan Cuadrado,29,Normal
152360,11039,135,Andrea Belotti,45+6,Penalty
152365,11039,116,Cristiano Ronaldo,61,Normal
152372,11039,116,Koffi Djidji,87,OG
152373,11021,120,Ashley Young,5,Normal
152375,11021,120,Alexis Sánchez,20,Penalty
152377,11021,120,Danilo D'Ambrosio,45,Normal
152381,11021,120,Roberto Gagliardini,52,Normal
152391,11021,120,Christian Eriksen,83,Normal
152392,11021,120,Antonio Candreva,88,Normal
152393,11064,117,Davide Faraoni,18,Normal
152406,11064,129,Patrick Cutrone,90+6,Normal
152412,10934,120,Alessandro Bastoni,71,Normal
152414,10934,140,Marco Mancosu,77,Normal
152422,11056,125,Domenico Berardi,41,Normal
152423,11056,125,Lukáš Haraslín,56,Normal
152437,11056,121,Musa Barrow,90+1,Normal
152448,10848,116,Paulo Dybala,77,Normal
152454,10823,124,Francesco Acerbi,25,Normal
152455,10823,124,Ciro Immobile,33,Normal
152461,10823,124,Ciro Immobile,70,Penalty
152466,10823,124,Andrea Belotti,90,OG
152469,10836,137,Gervinho,40,Normal
152472,10836,129,Gaetano Castrovilli,67,Normal
152478,11076,129,Federico Chiesa,6,Normal
152481,11076,129,Unknown,11,Penalty
152485,11076,129,Rachid Ghezzal,38,Normal
152486,11076,129,Patrick Cutrone,40,Normal
152497,11076,140,Yevhen Shakhov,88,Normal
152501,10879,139,Jhon Chancellor,32,Normal
152505,10879,139,Ernesto Torregrossa,44,Normal
152511,10879,139,Nikolas Špalek,61,Normal
152517,10994,130,Goran Pandev,7,Normal
152518,10994,130,Francesco Cassata,41,Normal
152523,10994,131,Zlatan Ibrahimović,77,Normal
152537,10995,117,Emil Audero,32,OG
152545,10995,122,Fabio Quagliarella,77,Normal
152549,10995,122,Fabio Quagliarella,86,Penalty
152554,11112,119,Samir Santos,36,Normal
152555,11112,140,Marco Mancosu,40,Penalty
152562,11112,140,Gianluca Lapadula,81,Normal
152568,11069,118,Mario Pašalić,2,Normal
152569,11069,139,Ernesto Torregrossa,8,Normal
152570,11069,118,Marten de Roon,25,Normal
152571,11069,118,Ruslan Malinovskyi,28,Normal
152572,11069,118,Duván Zapata,30,Normal
152574,11069,118,Mario Pašalić,55,Normal
152576,11069,118,Mario Pašalić,58,Normal
152583,11069,139,Nikolas Špalek,83,Normal
152584,10912,119,Stefano Okaka,14,Normal
152586,10912,119,Ken Sema,68,Normal
152592,10912,119,Rodrigo De Paul,90,Normal
152595,10832,126,Mario Pašalić,32,OG
152600,10832,126,Christian Oliva,58,Normal
152608,11027,118,Mario Pašalić,47,Normal
152609,11027,118,Robin Gosens,55,Normal
152623,10971,128,Edin Džeko,45,Normal
152624,10971,118,José Luis Palomino,50,Normal
152626,10971,118,Mario Pašalić,59,Normal
152658,10985,135,Nicolas Nkoulou,15,Normal
152659,10985,137,Juraj Kucka,31,Normal
152661,10985,135,Unknown,48,Penalty
152670,10953,124,Ciro Immobile,3,Normal
152671,10953,124,Felipe Caicedo,16,Normal
152672,10953,124,Ciro Immobile,29,Normal
152673,10953,124,Felipe Caicedo,38,Normal
152676,10953,124,Bobby Adekanye,58,Normal
152679,10953,133,Simone Missiroli,65,Normal
152685,10839,125,Francesco Caputo,34,Normal
152694,10839,125,Jeremie Boga,68,Normal
152695,10839,121,Riccardo Orsolini,70,Normal
152697,10839,125,Francesco Caputo,75,Normal
152703,11106,117,Sofyan Amrabat,39,Penalty
152705,11106,124,Ciro Immobile,45+6,Penalty
152706,11106,124,Sergej Milinković-Savić,56,Normal
152707,11106,124,Joaquín Correa,62,Normal
152715,11106,124,Ciro Immobile,83,Normal
152722,11106,124,Ciro Immobile,90+4,Penalty
152724,10882,135,Cristian Ansaldi,36,Normal
152729,10882,135,Álex Berenguer,54,Normal
152730,10882,135,Cristian Ansaldi,61,Normal
152733,10882,117,Giampaolo Pazzini,69,Penalty
152735,10882,117,Valerio Verre,76,Normal
152737,10882,117,Mariusz Stępiński,84,Normal
152743,10907,119,Rodrigo De Paul,88,Normal
152749,11170,134,Arkadiusz Milik,37,Normal
152755,11170,134,Arkadiusz Milik,67,Normal
152763,11183,121,Rodrigo Palacio,48,Normal
152766,11183,122,Manolo Gabbiadini,64,Normal
152771,11183,121,Mattia Bani,78,Normal
152774,10980,119,Stefano Okaka,33,Normal
152783,10980,121,Rodrigo Palacio,90+1,Normal
152786,11164,126,João Pedro,26,Penalty
152788,11164,128,Luca Ceppitelli,31,OG
152799,11077,135,Gleison Bremer,32,Normal
152809,11077,135,Saša Lukić,76,Normal
152811,11077,135,Andrea Belotti,90,Normal
152816,11109,137,Dejan Kulusevski,43,Normal
152822,11109,118,Ruslan Malinovskyi,70,Normal
152826,11109,118,Papu Gómez,84,Normal
152835,10890,128,Edin Džeko,19,Normal
152837,10890,128,Aleksandar Kolarov,21,Normal
152838,10890,129,Milan Badelj,34,Normal
152845,10890,128,Lorenzo Pellegrini,73,Normal
152850,10890,128,Nicolò Zaniolo,88,Normal
152855,10918,137,Simone Iacoponi,57,Normal
152859,10918,137,Andreas Cornelius,72,Normal
152870,10973,116,Paulo Dybala,38,Normal
152875,10973,116,Juan Cuadrado,75,Normal
152880,11026,137,Dejan Kulusevski,14,Normal
152883,11026,117,Samuel Di Carmine,45+3,Penalty
152889,11026,117,Mattia Zaccagni,54,Normal
152892,11026,137,Riccardo Gagliolo,64,Normal
152895,11026,117,Matteo Pessina,81,Normal
