Match,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score
3090,37,59,13,12,38,24,11,2,4,21,60,Unknown,990,1,0,0,0,14,5,1,0,643,20,14,8,1.4,1.4,0.9,21,0,409,536,76.3,37,350,24,28,18,43,41,7,4,8,28,34,2,6,23,60,Unknown,990,1,1,0,0,5,2,2,0,497,16,12,11,0.3,0.3,0.2,7,2,261,368,70.9,15,198,7,26,16,75.83333333333333,75.41666666666667,74.3,76.0,76.11764705882354,71.8,1,1
3193,38,52,8,6,27,7,14,1,10,19,70,Unknown,990,3,2,1,1,24,4,1,0,714,25,9,7,2.5,1.7,1.5,46,6,502,604,83.1,64,494,38,15,9,39,48,5,4,13,11,28,4,10,20,49,Unknown,990,1,0,0,0,9,3,1,0,693,16,7,21,1.0,1.0,0.4,13,0,477,563,84.7,28,393,14,21,14,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3344,43,29,8,1,8,13,28,3,11,13,62,Unknown,990,0,0,0,0,7,2,1,0,433,13,22,14,0.9,0.9,0.4,12,0,220,303,72.6,22,167,5,13,11,48,71,10,8,29,21,12,2,5,22,71,Unknown,990,2,2,0,0,21,10,1,0,835,11,6,8,3.5,3.5,3.4,40,4,626,736,85.1,58,599,31,22,16,78.66666666666667,76.86666666666666,74.75,86.33333333333333,85.21428571428571,78.6,0,2
2994,34,33,8,1,17,11,20,0,6,16,61,Unknown,990,1,0,1,1,11,2,4,0,527,16,8,10,1.3,0.5,0.5,21,2,315,411,76.6,38,294,12,18,10,49,67,5,6,13,12,18,0,8,18,61,Unknown,990,2,2,0,0,16,10,2,0,954,16,13,12,2.1,2.1,1.6,27,4,733,827,88.6,35,625,37,20,14,77.25,76.41666666666667,75.9,78.55555555555556,75.1,79.0,1,2
3282,48,73,7,9,24,9,5,0,4,17,54,Unknown,990,5,2,0,0,31,9,1,0,860,12,10,8,3.3,3.3,2.2,55,5,691,770,89.7,105,591,41,24,19,50,27,4,0,3,7,27,2,23,13,67,Unknown,990,0,0,0,0,5,4,1,0,390,14,14,15,1.0,1.0,1.0,8,0,209,292,71.6,12,187,8,6,4,86.2,85.21428571428571,80.66666666666667,65.0,69.58333333333333,69.0,5,0
3250,51,24,8,4,12,35,37,1,8,18,65,Unknown,990,3,1,0,0,9,4,1,0,380,7,11,8,2.4,2.4,1.0,16,5,174,282,61.7,20,146,6,12,9,49,76,6,6,35,28,11,0,7,32,87,Unknown,990,0,0,0,0,15,4,0,0,956,8,14,4,1.2,1.2,1.0,27,0,757,881,85.9,54,610,28,8,6,71.4,72.0,72.0,78.9,80.25,81.33333333333333,3,0
3046,47,36,12,4,19,12,10,1,3,20,58,Unknown,990,1,1,0,0,11,4,2,0,512,27,17,11,0.6,0.6,0.4,16,2,307,406,75.6,43,304,24,14,7,39,64,6,3,9,18,18,0,8,26,59,Unknown,990,3,3,0,0,10,3,0,0,819,12,9,8,1.4,1.4,1.3,17,6,617,717,86.1,42,494,29,26,12,80.5,75.53333333333333,76.3,78.3,78.0,77.44444444444444,1,3
3131,33,34,9,5,10,18,23,2,11,12,63,Unknown,990,2,1,0,0,11,3,1,0,464,10,21,20,1.4,1.4,0.7,18,4,215,330,65.2,20,247,13,10,4,40,66,12,8,23,18,15,1,6,33,71,Unknown,990,1,0,0,0,21,8,1,0,749,16,6,14,1.8,1.8,0.9,34,2,511,628,81.4,69,433,22,18,14,70.0,76.28571428571429,73.11111111111111,74.85714285714286,74.0909090909091,73.44444444444444,3,1
3004,30,42,10,5,17,11,15,0,6,15,50,Unknown,990,3,3,0,0,21,11,2,0,520,24,10,7,3.6,3.6,3.2,41,6,304,393,77.4,41,297,26,26,18,40,58,14,2,14,14,14,4,8,26,63,Unknown,990,1,1,0,0,6,2,5,0,659,28,10,16,0.8,0.8,0.8,10,1,427,538,79.4,40,339,13,16,9,78.66666666666667,75.6470588235294,75.0,77.25,72.8,72.9090909090909,3,1
3275,30,57,10,2,8,9,12,3,11,13,52,Unknown,990,1,1,0,0,11,4,3,0,749,9,8,12,0.6,0.6,0.5,20,2,543,636,85.4,65,419,26,22,9,47,43,9,3,20,13,19,1,9,19,75,Unknown,990,1,0,1,1,11,2,1,0,579,20,14,12,1.5,0.7,0.5,21,1,371,484,76.7,40,319,19,10,10,79.75,80.66666666666667,76.6,79.33333333333333,78.52380952380952,72.55555555555556,1,1
3257,49,67,10,8,34,20,7,0,2,17,91,Unknown,990,1,1,0,0,22,6,2,0,920,8,16,10,2.5,2.5,2.0,40,2,725,826,87.8,96,698,25,18,12,50,33,9,1,8,15,25,1,16,14,55,Unknown,990,0,0,0,0,2,0,2,0,506,15,13,13,0.1,0.1,0.1,2,0,305,401,76.1,20,249,12,14,12,79.0909090909091,80.25,80.9,69.0,71.46666666666667,69.0,1,0
3099,31,24,8,4,13,10,21,0,10,22,60,Unknown,990,0,0,0,0,5,2,1,0,398,15,10,11,0.7,0.7,0.7,9,0,186,281,66.2,19,174,14,20,8,41,76,12,5,11,22,16,3,1,20,55,Unknown,990,3,2,0,0,17,10,1,0,994,17,11,8,2.9,2.9,1.7,29,5,782,872,89.7,55,533,18,11,5,76.5,75.91666666666667,75.54545454545455,76.25,78.07142857142857,75.625,0,3
3240,48,73,13,8,21,14,11,2,0,10,57,Unknown,990,4,3,0,0,23,9,0,0,961,5,15,12,2.8,2.8,2.7,44,8,804,878,91.6,84,598,27,19,14,31,27,7,1,10,5,17,0,9,13,63,Unknown,990,0,0,0,0,6,1,0,0,410,15,11,15,0.3,0.3,0.3,12,0,234,324,72.2,12,189,8,8,8,86.2,83.66666666666667,80.75,75.6,75.14285714285714,76.15384615384616,5,0
3339,41,63,4,9,22,22,23,2,6,25,49,Unknown,990,2,2,0,0,19,3,0,0,736,22,11,11,1.0,1.0,0.8,36,4,505,613,82.4,29,421,18,16,7,42,37,10,4,19,24,26,3,10,36,57,Unknown,990,1,1,0,0,13,4,3,0,476,15,13,15,1.6,1.6,0.7,22,2,251,362,69.3,27,210,9,14,5,77.25,77.8,75.42857142857143,76.33333333333333,74.75,75.0,2,1
3214,37,53,10,4,19,13,10,2,3,29,82,Unknown,984,0,0,0,0,12,3,0,1,571,17,12,8,0.9,0.9,0.7,21,0,376,488,77.0,28,392,11,15,9,39,47,14,6,8,16,21,1,10,22,54,Unknown,990,2,0,0,0,10,5,2,0,521,10,15,11,2.0,2.0,0.5,15,2,333,435,76.6,25,330,18,12,8,73.8,73.66666666666667,71.5,78.375,78.25,77.18181818181819,0,2
3002,44,61,6,4,16,22,19,1,10,27,60,Unknown,990,1,0,0,0,17,5,2,0,767,19,5,11,1.8,1.8,1.4,32,2,538,649,82.9,41,499,21,25,13,51,39,9,4,15,14,23,6,11,21,78,Unknown,990,1,1,0,0,14,4,2,0,556,27,10,7,0.9,0.9,0.7,23,2,308,423,72.8,28,284,13,21,12,83.4,82.42105263157895,79.0,72.75,72.16666666666667,72.75,1,1
3283,49,62,10,3,11,21,14,3,6,26,84,Unknown,990,2,1,0,0,11,3,2,0,793,30,8,9,1.5,1.5,1.2,17,4,551,673,81.9,39,501,17,15,8,36,38,16,3,9,24,7,1,7,29,78,Unknown,990,0,0,0,0,5,1,3,0,523,22,8,13,0.2,0.2,0.2,8,0,281,410,68.5,29,232,9,23,8,78.44444444444444,79.91666666666667,80.63636363636364,76.8,75.28571428571429,74.8,2,0
3003,41,51,10,5,16,8,20,1,5,27,43,Unknown,990,2,2,0,0,19,7,1,0,654,19,11,11,1.2,1.2,1.0,32,4,463,535,86.5,45,400,23,17,9,39,49,10,4,16,4,15,2,11,19,58,Unknown,990,0,0,0,0,8,1,1,0,626,18,7,11,1.1,1.1,0.9,14,0,430,524,82.1,40,382,20,20,10,77.375,78.0,75.85714285714286,80.28571428571429,76.38461538461539,79.0,2,0
3121,37,53,13,1,24,21,17,2,8,32,97,Unknown,990,2,1,0,0,11,5,2,0,583,14,10,11,0.7,0.7,0.5,20,3,317,462,68.6,30,261,15,20,9,36,47,12,3,14,31,19,2,6,23,83,Unknown,990,3,2,1,1,7,3,1,0,528,13,11,5,2.4,1.6,1.3,12,6,261,412,63.3,29,233,14,26,18,74.0,76.41666666666667,76.71428571428571,70.4,74.57142857142857,73.125,2,3
3304,33,41,5,7,7,23,37,4,12,23,64,Unknown,990,3,2,0,0,13,6,0,0,512,18,13,11,1.4,1.4,1.1,21,4,252,376,67.0,27,281,14,14,6,46,59,14,7,22,24,11,0,3,28,90,Unknown,990,1,1,0,0,14,5,4,0,643,18,13,11,1.5,1.5,1.1,24,2,403,541,74.5,53,387,19,16,10,0.0,0.0,0.0,0.0,0.0,0.0,3,1
