"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2018-09-26","Serie A (Matchweek 6)","Atalanta","3-4-1-2",57,382,544,70,13,11,36,663,18,17,33,12,2,8,31,96,"2","0","Torino","3-5-1-1",43,258,407,63,17,1,10,558,19,13,19,34,1,11,29,83,"1","0","https://fbref.com/en/matches/e4017e17/Atalanta-Torino-September-26-2018-Serie-A"
"Serie A","2018-09-15","Serie A (Matchweek 4)","Frosinone","5-3-2",39,331,421,79,13,5,21,491,16,9,3,7,4,10,21,71,"3","0","Sampdoria","4-1-2-1-2",61,591,667,89,16,3,9,756,23,6,8,26,4,5,12,55,"1","0","https://fbref.com/en/matches/bf65ae94/Frosinone-Sampdoria-September-15-2018-Serie-A"
"Serie A","2018-11-11","Serie A (Matchweek 12)","Roma","4-2-3-1",49,390,494,79,8,7,19,603,16,14,21,22,5,4,26,85,"1","0","Sampdoria","4-1-2-1-2",51,400,509,79,10,7,24,614,19,7,10,27,1,9,24,72,"1","0","https://fbref.com/en/matches/64a88b2f/Roma-Sampdoria-November-11-2018-Serie-A"
"Serie A","2019-04-07","Serie A (Matchweek 31)","Fiorentina","4-3-3",62,417,557,75,19,10,48,666,9,8,22,19,0,7,24,72,"1","0","Frosinone","3-5-2",38,212,338,63,16,7,20,461,12,15,16,38,0,16,17,86,"4","0","https://fbref.com/en/matches/511b7cca/Fiorentina-Frosinone-April-7-2019-Serie-A"
"Serie A","2019-04-06","Serie A (Matchweek 31)","Parma","3-4-3",36,177,271,65,20,3,13,383,23,10,20,31,3,13,16,64,"4","0","Torino","3-4-3",64,376,473,79,20,4,19,566,15,10,23,15,0,5,27,68,"5","0","https://fbref.com/en/matches/312a8eec/Parma-Torino-April-6-2019-Serie-A"
"Serie A","2018-12-22","Serie A (Matchweek 17)","Napoli","4-4-2",62,640,732,87,13,3,15,805,9,7,7,10,4,8,25,73,"2","0","SPAL","3-5-2",38,371,449,83,10,5,11,542,12,18,7,18,4,10,11,64,"2","0","https://fbref.com/en/matches/a9da4f86/Napoli-SPAL-December-22-2018-Serie-A"
"Serie A","2019-03-10","Serie A (Matchweek 27)","Internazionale","4-2-3-1",55,392,489,80,17,4,23,589,12,2,17,17,0,6,25,65,"3","0","SPAL","3-5-2",45,302,400,76,17,7,23,495,18,9,16,21,0,11,21,54,"5","0","https://fbref.com/en/matches/b176e7e7/Internazionale-SPAL-March-10-2019-Serie-A"
"Serie A","2018-10-06","Serie A (Matchweek 8)","Udinese","4-1-4-1",40,376,455,83,14,4,13,563,12,12,14,29,0,9,14,47,"3","0","Juventus","4-3-3",60,592,678,87,15,8,27,783,20,11,11,11,0,4,21,85,"1","0","https://fbref.com/en/matches/ab2feeab/Udinese-Juventus-October-6-2018-Serie-A"
"Serie A","2018-12-22","Serie A (Matchweek 17)","Chievo","4-1-2-1-2",37,314,426,74,10,5,26,554,20,15,17,28,2,11,16,88,"3","0","Internazionale","4-3-3",63,579,713,81,10,7,24,825,24,12,16,23,3,6,22,76,"2","0","https://fbref.com/en/matches/bbb44ca5/Chievo-Internazionale-December-22-2018-Serie-A"
"Serie A","2019-05-18","Serie A (Matchweek 37)","Sassuolo","4-3-3",54,438,537,82,10,5,11,667,20,9,13,29,2,14,17,58,"2","0","Roma","4-3-3",46,363,456,80,10,5,28,578,12,11,25,22,3,8,24,72,"4","0","https://fbref.com/en/matches/edddee0b/Sassuolo-Roma-May-18-2019-Serie-A"
"Serie A","2018-12-15","Serie A (Matchweek 16)","Torino","3-1-4-2",42,221,339,65,17,7,21,465,13,6,20,18,2,11,20,80,"2","0","Juventus","4-3-3",58,352,469,75,13,5,16,587,13,11,16,26,3,6,31,73,"4","0","https://fbref.com/en/matches/d4b0d030/Torino-Juventus-December-15-2018-Serie-A"
